ID,Fundnr,Anzahl,Bodenzeichen,Bodenform,DMmax,Dmproz,BZCHN_erkannt,BZCHN_Ansatz,i,a,Typ,Fragmenttyp,Standflaeche,Produktionsspuren,joint,moeglicher_joint,Formaehnlichkeit,Erhaltung
147,1230396,15,3,1,,,,,,,,,,,,,,
148,1230395,1,3,1,10,30,,,,,,,,überfeuert,,,,
149,1230395,1,3,1,9,20,,,,,,,,,,,,
150,1230395,22,3,1,,,,,,,,,,,,,,
151,1230394,18,3,1,,,,,,,,,,,,,,
152,1230394,1,3,1,9,23,,,,,,,,,,,,
153,1230394,1,3,3,8,25,,,,,,,,,,,,
154,1230394,1,2,10,9,25,,,,,,,,,,,,
155,1230393,1,3,1,,,,,,,,,,,,,,
156,1230393,22,3,1,,,,,,,,,,,,,,
157,1230392,20,3,2,,,,,,,,,,,,,,
158,1230390,9,3,1,,,,,,,,,,,,,,
159,1230387,4,3,10,,,,,,,,,,,,,,
160,1230386,1,3,1,,,,,,,,,,,,,,
161,1230386,1,3,8,9,25,,,,,,,,,,,,
162,1230385,1,3,9,,,,,,,,,,,,,,
163,1230383,1,3,1,12,20,,,,,,,,,,,,
164,1230383,2,3,1,,,,,,,,,,,,,,
165,1230383,4,3,9,,,,,,,,,,,,,,
166,1230380,1,3,3,9,100,,,,,,,,Holzmaserung,,,,
167,1230380,1,3,1,8,20,,,,,,,,,,,,
168,1230380,2,3,1,,,,,,,,,,,,,,
169,1230367,13,3,1,,,,,,,,,,,,,,
170,1230353,1,3,1,,,,,,,,,,,,,,
171,1230353,1,3,4,,,,,,,,,,,,,,
172,1230351,1,3,1,12,20,,,,,,,,,,,,
173,1230351,1,3,5,10,20,,,,,,,,,,,,
174,1230351,1,3,5,,,,,,,,,,,,,,
175,1230351,29,3,9,,,,,,,,,,,,,,
176,1230348,1,3,4,9,20,,,,3,,,,,,,,
177,1230348,8,3,7,,,,,,,,,,,,,,
178,1230346,21,3,1,,,,,,,,,,,,,,
