ID;Fundnr;Anzahl;Verzier_a1;Verz_a1_mehrfach;Wsmin;Wsmax;Verzier_a2;Verzier_a2_mehrfach;Verzier_a3;Verzier_a4;Verzier_i;Dmax;Proz_erhalt;Fragmenttyp;Anmerk;Zchng;Typ;joint;Ware
151;1230411;1;;;;0,35;;;;;;;;;;;;;109
152;1230289;1;;;;0,3;12;;;;;;;;;;;;109
153;1230408;1;10;;;0,9;;;;;;;;;Harte Grauware? / VFG ?;;;;302
154;1230439;1;23;;;;;;;;;;;;;;;;112
155;1230289;1;23;;;0,4;12;;;;;;;;;;;;109
156;1230435;1;12;;;0,45;;;;;;;;;;;;;109
157;1230435;1;12;;;;;;;;;;;;;;;;109
158;1230395;1;;;;0,55;;;;;12;;;;;;;;109
159;1230448;1;10;;;0,6;;;;;;;;;;;;;200
160;1230458;1;10;;;0,85;;;;;;;;;;;;;200
161;1230390;1;11;;;;;;;;12;;;;a grün glasiert / i gelb;;;;109
162;1230344;6;;;;;;;;;;;;;unebenkörnig;;;;112
163;1230442;1;;;0,35;0,49;;;;;;;;;;;;;112
164;1230380;1;10;;;0,25;;;;;;;;;Grauware? Sehr hart;;;;112
165;1230420;1;23;;;;;;;;;;;;;51VI;;;110
166;1230460;8;10;;0,7;0,9;;;;;;;;;;;1030;;
167;1230428;2;10;;0,7;1;;;;;;;;;;;10;;
168;1230838;2;3;;;;;;;;3;;;;;;70;;
169;1230409;2;3;;;0,8;;;;;3;;;;;;70;;
170;1230450;1;3;;;0,9;;;;;3;;;;;;70;;
171;1230400;1;3;;;;;;;;3;;;;;;70;;
172;1230398;1;3;;;;;;;;3;;;;;;70;;
173;1230402;3;3;;;;;;;;3;;;;;;70;;
174;1230411;1;3;;;;;;;;3;;;;;;70;;
175;1230282;2;3;;;;;;;;3;;;;;;70;;
176;1230449;1;3;;;0,75;;;;;3;;;;;;70;;
177;1230467;3;3;;;;;;;;3;;;;;;70;;
178;1230252;3;3;;;0,75;;;;;3;;;;;;70;;
179;1230250;1;3;;;0,8;;;;;3;;;;;;70;;
180;1230367;1;3;;;;;;;;3;;;;;;70;;
181;1230289;4;;;0,65;0,85;;;;;3;;;;;;70;;
182;1230316;1;10;;;0,75;;;;;3;;;;;;70;;
183;1230317;2;10;;;0,7;;;;;3;;;;;;70;;
184;1230451;1;3;;;;;;;;;;;;;;70;;
185;1230327;1;;;;0,8;;;;;;;;;;;70;;
